query,response
what is blood,"The usually red fluid, consisting of plasma, red and white blood cells, etc., that circulates through the heart, arteries, and veins of vertebrates. Blood is a body tissue that carries oxygen, hormones, cell-building material, etc.,to, and carbon dioxide and waste matter away from, the other body tissues."
what is blue,The sky is blue.
what is bmw,"Bavarian Motor Works, a German auto manufacturer."
what is bonsai,Small Japanese trees.
what is boredom,Long periods of inactivity with few options.
what is boyle s law,"Boyle's Law states that the volume of a gas is, at a constant temperature, inversely proportional to the pressure of that gas."
what is brain loading,This means that my brain is being reloaded from disk.
what is brb,Be Right Back
what is bread,Never.
what is bud,The flower of the plant.
what is buddhism,"A religion and philosophic system of south, central, and eastern Asia, founded in India in the 6th century B.C. by Buddha. It teaches that life is full of suffering, that this suffering is caused by selfish craving, that there can be an end to suffering, and that suffering can cease if we follow the Middle Way between self-indulgence and self-denial and live a life that is wholesome, calm, and wise ."
what is bulgaria,"A country in SE Europe, on the Black Sea. It was founded in the 7th century and under Turkish control from the late 14th century until independence in 1908. It is 42,823 square miles with a population of 8,990,000."
what is burn rate,The amount of money spent per month by a startup company.
what is bush,President of the United States.
what is business value,Something that can make a profit.
what is business,"Mercantile trade or traders, providing goods or services through commercial exchange.."
what is c i a,Central Intelligence Agency.
what is c plus plus,C++ is the object oriented extension of the C programming language.
what is c,C is a low-level programming language.
what is cache,A temporary holding place or storage place. Cache memory improves the performance of computers.
what is cad,Computer aided design.
what is caffeine,"A bitter bitter, crystalline alkaloid present in coffee, tea, kila nuts, etc. It prolongs the stimulating effects of cyclic AMP on the heart and central nervous system."
what is calculus,"Any abnormal stony mass or deposit formed in the body, as in a kidney or gallbladder or on teeth. Also, any system of calculation using special symbolic notations."
what is california like,California is too expensive.
what is california,"State of the SW U.S., on the Pacific coast. It was admitted in 1850."
what is called a lorry in *,Interesting question.
what is cam,"A moving piece of machinery, as a wheel or projection on a wheel, that gives an eccentric rotation or a reciprocating motion to another wheel, a roller, a shaft, etc., or that receives such motion from it."
what is canada,Canada is a large nation occupying much of the North American continent.
what is cancer,Any disease resulting from malignant cell growth.
what is candy,Sweet food enjoyed by children.
what is cannabis,Hemp or marijuana.
what is capital punishment,The Death Penalty.
what is carnegie mellon,CMU is a great school for computer science.
what is cartesian *,Do you use Explorer or another browser?
what is casablanca,"I love the song, As Time Goes By."
what is cat,"Clear-air turbulence. Any of a family (Felidae) of carnivores, including the lion, tiger, cougar, etc., characterized by a lithe body and, in all species but the cheetah, retractile claws. A small, lithe, soft-furred animal (Felis cattus) of this family, domesticated since ancient times and often kept as a pet or for killing mice. Sometimes known as a woman who makes spiteful remarks."
what is cbr,"Cased-Based Reasoning is another name for ""nearest-neighbor"" classification. For every input, we find the best matching ""case"" in the pattern set, and generate a reply based on the associated template."
what is cbs,A giant media company in the U.S.
what is celluloid,A form of transparent plastic used to make photographic film.
what is certitude,"The state of being certain, having complete confidence and assurance."
what is cgi,Common Gateway Interface: a method used by web servers to run programs and create dynamic web pages.
what is cha cha,A type of music.
what is chat,Chat is online conversation.
what is chatter,"To make short, indistinct sounds in rapid succession, hence birds and squirrels chatter. To talk fast, incessantly, and foolishly. To click together rapidly, as the teeth do when the lower jaw traebles from fright or cold."
